x,y,z
1.02808,1.21473,5.94973
1.03991,1.23587,5.95715
1.02976,1.18696,5.91411
1.03001,1.21288,5.88544
1.0219,1.19997,5.85472
1.01393,1.17559,5.81702
0.998998,1.14597,5.74218
0.988709,1.12591,5.68549
0.98891,1.11233,5.68332
0.975795,1.1095,5.6275
0.966217,1.02305,5.57152
0.961121,1.00408,5.52469
0.95774,1,5.49078
0.960693,0.98887,5.4996
0.954665,0.980874,5.39763
0.965363,0.947972,5.39812
0.957082,0.927054,5.32048
0.948828,0.93267,5.24826
0.933169,0.89302,5.16635
0.927509,0.880041,5.12678
0.904622,0.846528,5.05169
0.892362,0.828182,4.97699
0.895523,0.827015,4.97233
0.877231,0.801862,4.89184
0.861897,0.787582,4.82262
0.864113,0.786107,4.82967
0.849907,0.764147,4.76112
0.849907,0.764147,4.76112
0.81673,0.706216,4.61584
0.813451,0.694043,4.5932
0.803091,0.656833,4.51699
0.789253,0.648394,4.46428
0.778334,0.626314,4.36238
0.765617,0.615839,4.29015
0.758496,0.600697,4.24866
0.750016,0.58796,4.21525
0.724354,0.55147,4.11081
0.707449,0.517152,4.04878
0.690562,0.449534,3.96875
0.682202,0.453373,3.91263
0.66332,0.446325,3.85432
0.644493,0.431087,3.77013
0.637022,0.406203,3.73543
0.628985,0.400443,3.69746
0.604497,0.345218,3.59208
0.605335,0.344188,3.57114
0.594761,0.31346,3.48176
0.585052,0.291356,3.41333
0.576095,0.27911,3.35558
0.544636,0.249103,3.24536
0.544418,0.222386,3.20647
0.525557,0.171733,3.14694
0.513462,0.178724,3.09914
0.52452,0.120153,3.04125
0.499167,0.145103,2.96158
0.4827,0.132987,2.93689
0.465727,0.141891,2.89066
0.465203,0.104533,2.79085
0.45607,0.0535162,2.73411
0.462402,-0.0440198,2.66252
0.448523,-0.0508847,2.57048
0.465275,-0.0379108,2.50461
0.452243,-0.11269,2.41704
0.446835,-0.188659,2.34422
0.463453,-0.122576,2.34568
0.44765,-0.212831,2.27024
0.460314,-0.148168,2.18675
0.449959,-0.132449,2.1019
0.443518,-0.138297,2.05194
0.433703,-0.136751,1.97956
0.422663,-0.150521,1.89019
0.416814,-0.170585,1.84505
0.409146,-0.198314,1.7782
0.405759,-0.214322,1.74169
0.39569,-0.23255,1.66294
0.399834,-0.237731,1.6451
