7,36,11,723
x,y,z
1.8305,1.50967,7.929
1.84752,1.50596,7.91
1.83174,1.4891,7.934
1.83368,1.46907,7.942
1.84957,1.46454,7.918
1.8347,1.44826,7.946
1.85083,1.44397,7.923
1.83525,1.42706,7.948
1.84859,1.42069,7.913
1.83626,1.40621,7.952
1.84097,1.38811,7.972
0.902959,0.542703,5.103
0.918077,0.543409,5.11
0.932684,0.543796,5.114
0.945459,0.543119,5.108
0.957823,0.542229,5.1
0.968617,0.540489,5.084
0.982028,0.540236,5.082
0.996796,0.540728,5.087
1.01318,0.54207,5.1
0.905651,0.530354,5.118
0.922068,0.531767,5.132
0.936005,0.531729,5.132
0.947163,0.530137,5.117
0.958801,0.528855,5.105
0.9698,0.527263,5.09
0.983613,0.527224,5.09
0.998599,0.527806,5.096
0.906573,0.516913,5.123
0.923363,0.51849,5.139
0.935496,0.517444,5.129
0.947387,0.516297,5.118
0.959215,0.51515,5.107
0.971362,0.514204,5.098
0.983458,0.513258,5.089
0.997854,0.513523,5.092
0.738256,0.484235,4.929
0.749228,0.482632,4.913
0.761509,0.481912,4.906
0.773907,0.481291,4.9
0.786591,0.480866,4.896
0.799088,0.480342,4.891
0.81222,0.480211,4.89
0.827031,0.481062,4.899
0.843605,0.482894,4.918
0.908556,0.504032,5.134
0.92358,0.504585,5.14
0.935898,0.503665,5.131
0.948534,0.502941,5.124
0.960755,0.502021,5.115
0.973115,0.501199,5.107
0.986201,0.500769,5.103
1.00044,0.500928,5.105
0.739485,0.471557,4.937
0.750175,0.469807,4.919
0.761696,0.46863,4.907
0.773623,0.46774,4.898
0.786462,0.467422,4.895
0.798793,0.466817,4.889
0.81192,0.46669,4.888
0.826896,0.467612,4.898
0.843467,0.469393,4.917
0.906291,0.488798,5.121
0.924514,0.491054,5.145
0.936298,0.489873,5.133
0.949681,0.489551,5.13
0.96267,0.489038,5.125
0.975247,0.488334,5.118
0.989717,0.488583,5.121
1.00596,0.489692,5.133
0.740114,0.458463,4.941
0.750662,0.45667,4.922
0.761571,0.455156,4.906
0.773811,0.454476,4.899
0.786172,0.453889,4.893
0.798661,0.453394,4.888
0.812284,0.453548,4.89
0.827772,0.454722,4.903
0.845558,0.457101,4.929
0.926526,0.47805,5.156
0.9398,0.477645,5.152
0.953049,0.477239,5.148
0.965147,0.476277,5.138
0.979475,0.476427,5.14
0.994585,0.476947,5.146
1.01404,0.479506,5.174
0.74269,0.446516,4.958
0.751302,0.443605,4.926
0.762532,0.442315,4.912
0.773842,0.441115,4.899
0.785721,0.440275,4.89
0.798039,0.439705,4.884
0.812813,0.440484,4.893
0.829154,0.442074,4.911
0.846963,0.444383,4.937
0.929076,0.465255,5.17
0.941841,0.464591,5.163
0.955305,0.464287,5.16
0.968376,0.463803,5.155
0.982178,0.463679,5.154
0.997906,0.464453,5.163
1.01623,0.466397,5.185
0.745115,0.434388,4.974
0.752856,0.431041,4.936
0.763493,0.429441,4.918
0.774661,0.428189,4.904
0.786714,0.427462,4.896
0.798885,0.426821,4.889
0.814339,0.427927,4.902
0.830367,0.429293,4.918
0.848195,0.431532,4.944
0.917011,0.452154,5.181
0.932883,0.452993,5.191
0.945705,0.452349,5.184
0.958116,0.451531,5.175
0.970852,0.450886,5.168
0.9845,0.450678,5.166
1.00007,0.451342,5.174
1.01822,0.45314,5.195
0.745143,0.420817,4.974
0.753342,0.417828,4.939
0.763521,0.416024,4.918
0.775005,0.414981,4.906
0.787868,0.414699,4.903
0.801039,0.414586,4.902
0.816029,0.415403,4.912
0.830565,0.415965,4.919
0.847882,0.417881,4.942
0.922354,0.440563,5.211
0.935252,0.439939,5.204
0.947927,0.439231,5.196
0.960186,0.438353,5.186
0.973515,0.437982,5.182
0.986439,0.437442,5.176
1.00087,0.437578,5.178
1.01806,0.438897,5.194
0.741125,0.405034,4.947
0.751386,0.403288,4.926
0.763083,0.402361,4.915
0.775191,0.401679,4.907
0.78886,0.401815,4.909
0.801884,0.401623,4.907
0.816556,0.40225,4.915
0.83127,0.402876,4.923
0.850828,0.405794,4.959
0.923447,0.426844,5.217
0.937081,0.426567,5.214
0.950878,0.426372,5.212
0.963366,0.425604,5.203
0.976365,0.425082,5.197
0.989139,0.424477,5.19
1.00342,0.424527,5.191
1.02162,0.426212,5.212
0.740103,0.39098,4.94
0.751107,0.389688,4.924
0.762954,0.388871,4.914
0.775692,0.388528,4.91
0.78953,0.388738,4.913
0.802892,0.388711,4.913
0.817581,0.389317,4.921
0.832817,0.39016,4.932
0.922947,0.412379,5.214
0.935854,0.411795,5.207
0.950179,0.411844,5.208
0.963397,0.411418,5.203
0.977148,0.411229,5.201
0.990505,0.410881,5.197
1.00538,0.411166,5.201
0.741177,0.378033,4.947
0.751438,0.376403,4.926
0.76298,0.375461,4.914
0.775718,0.37513,4.91
0.789717,0.37541,4.914
0.803246,0.37546,4.915
0.818106,0.376121,4.924
0.834196,0.377316,4.94
0.854659,0.380421,4.981
0.9048,0.396431,5.191
0.923154,0.398234,5.215
0.936782,0.397976,5.212
0.951487,0.398175,5.215
0.964353,0.397611,5.208
0.978118,0.397429,5.206
0.991679,0.397169,5.203
1.00773,0.397902,5.213
0.741651,0.364751,4.95
0.75192,0.36318,4.929
0.76316,0.362124,4.915
0.776059,0.361878,4.912
0.790225,0.362221,4.917
0.804416,0.362564,4.922
0.818963,0.363054,4.929
0.834898,0.364133,4.944
0.907965,0.383596,5.209
0.923713,0.38423,5.218
0.93753,0.384055,5.216
0.951333,0.383879,5.214
0.964382,0.383408,5.208
0.978524,0.383379,5.208
0.992472,0.383276,5.207
0.741075,0.350955,4.946
0.751487,0.349513,4.926
0.762874,0.348567,4.913
0.775926,0.348401,4.911
0.790089,0.348732,4.916
0.804768,0.349275,4.924
0.819487,0.349818,4.932
0.835768,0.350998,4.949
0.741548,0.337658,4.949
0.751815,0.336202,4.928
0.763363,0.335361,4.916
0.776739,0.335338,4.916
0.790434,0.335451,4.918
0.805445,0.336109,4.928
0.819844,0.336495,4.934
0.836637,0.337835,4.954
0.74142,0.32408,4.948
0.752447,0.323011,4.932
0.76323,0.321875,4.915
0.77613,0.321657,4.912
0.789011,0.321438,4.909
0.804161,0.322136,4.92
0.81887,0.322636,4.928
0.836154,0.324119,4.951
0.743689,0.311511,4.963
0.752774,0.30967,4.934
0.763407,0.30852,4.916
0.775994,0.308185,4.911
0.789033,0.308038,4.909
0.803693,0.308518,4.917
0.817896,0.30881,4.922
0.834657,0.310042,4.942
0.752489,0.296078,4.932
0.764204,0.295397,4.921
0.776963,0.295137,4.917
